episode,total_reward
1392,-28.0
1393,-255.0
1394,-163.0
1395,-88.0
1396,-143.0
1397,-48.0
1398,-140.0
1399,-544.0
1400,-138.0
1401,-222.0
1402,-130.0
1403,-57.0
1404,-54.0
1405,-72.0
1406,-158.0
1407,-17.0
1408,-106.0
1409,-197.0
1410,-9.0
1411,-94.0
1412,-139.0
1413,-75.0
1414,-32.0
1415,-136.0
1416,-217.0
1417,-86.0
1418,-170.0
1419,-142.0
1420,-59.0
1421,-105.0
1422,-4.0
1423,-67.0
1424,-90.0
1425,-38.0
1426,-37.0
1427,-246.0
1428,-160.0
1429,-97.0
1430,-123.0
1431,-55.0
1432,-173.0
1433,-18.0
1434,-105.0
1435,-220.0
1436,-128.0
1437,-140.0
1438,-101.0
1439,-29.0
1440,-84.0
1441,-179.0
1442,-155.0
1443,-89.0
1444,-149.0
1445,-167.0
1446,-83.0
1447,-153.0
1448,-118.0
1449,-23.0
1450,-404.0
1451,-97.0
1452,-106.0
1453,-312.0
1454,-63.0
1455,-260.0
1456,-173.0
1457,-250.0
1458,-44.0
1459,-169.0
1460,-79.0
1461,-241.0
1462,-99.0
1463,-148.0
1464,-53.0
1465,-168.0
1466,-179.0
1467,-58.0
1468,-38.0
1469,-34.0
1470,-30.0
1471,-65.0
1472,-156.0
1473,-154.0
1474,-506.0
1475,-164.0
1476,-73.0
1477,-224.0
1478,-170.0
1479,-248.0
1480,-186.0
1481,-135.0
1482,-264.0
1483,-123.0
1484,-41.0
1485,-293.0
1486,-82.0
1487,-117.0
1488,-47.0
1489,-162.0
1490,-238.0
1491,-130.0
1492,-154.0
1493,-440.0
1494,-189.0
1495,-121.0
1496,-114.0
1497,-103.0
1498,-238.0
1499,-52.0
1500,-152.0
1501,-421.0
1502,-122.0
1503,-199.0
1504,-309.0
1505,-120.0
1506,-62.0
1507,-107.0
1508,-108.0
1509,-38.0
1510,-16.0
1511,-87.0
1512,-96.0
1513,-213.0
1514,-106.0
1515,-151.0
1516,-149.0
1517,-98.0
1518,-173.0
1519,-66.0
1520,-148.0
1521,-131.0
1522,-48.0
1523,-304.0
1524,-358.0
